Date and time of GPS data in UTC, FileName GPS signal acquisition time
Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCBTep (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCBTep (C) stbd,Error Code stbd
01/18/2022,16:40:01.999,0,0,0,0,-0,233.114,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:02.999,0,0,0,0,-0,233.588,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:04.999,0,0,0,0,-0,234.139,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:05.998,0,0,0,0,-0,234.479,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:06.999,4,0,0,0,-0,235.233,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:07.999,4,0,0,0,-0,235.896,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:08.999,4,0,0,0,-0,236.352,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:09.999,4,0,0,0,-0,236.115,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:10.998,4,0,0,0,-0,235.239,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:11.999,4,0,0,0,-0,234.26,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:12.999,4,0,0,0,-0,232.033,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:14.999,4,0,0,0,-0,217.464,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:15.999,4,0,0,0,-0,203.006,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:17.198,4,0,0,0,-0,185.451,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:17.998,4,0,0,0,-0,169.493,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:19.198,5,0,0,0,-0,157.229,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:19.999,5,0,0,0,-0,150.356,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:21.198,5,0,0,0,-0,147.852,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:22.198,5,0,0,0,-0,147.702,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:23.199,5,0,0,0,-0,148.541,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:25.199,5,0,0,0,-0,148.693,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:26.198,5,0,0,0,-0,148.446,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:27.198,5,0,0,0,-0,148.162,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,16:40:28.198,5,0,0,0,-0,147.652,0,0,0,0,0,0,0,0,0,0,0,0,0
