Date and time of GPS data in UTC, FileName GPS signal acquisition time
Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCBTep (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCBTep (C) stbd,Error Code stbd
01/18/2022,21:01:55.599,11,0.8,30.3526,-89.6304,4.52136,92.159,65.4072,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:56.598,11,0.8,30.3526,-89.6303,4.23894,91.42,58.482,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:57.598,11,0.8,30.3526,-89.6303,3.92173,91.015,58.2716,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:58.598,11,0.8,30.3526,-89.6303,3.75048,90.159,58.1552,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:01:59.598,11,0.8,30.3526,-89.6303,3.70631,89.506,54.4344,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:00.598,11,0.8,30.3526,-89.6303,3.47296,89.127,54.0858,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:01.598,11,0.8,30.3526,-89.6303,3.20143,88.683,56.7924,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:03.598,11,0.8,30.3526,-89.6302,2.15141,88.355,49.2134,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:04.599,11,0.8,30.3526,-89.6302,0.976361,88.297,56.5314,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:05.598,11,0.8,30.3526,-89.6302,0.361057,88.373,20.4838,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:06.598,13,0.8,30.3526,-89.6302,-0.219267,88.161,322.927,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:07.599,13,0.8,30.3526,-89.6302,-0.0210258,88.026,213.69,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:08.598,13,0.8,30.3526,-89.6302,-0.0381904,87.853,284.744,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:09.598,13,0.8,30.3526,-89.6302,-0.117035,87.579,327.894,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:10.598,13,0.8,30.3526,-89.6302,0.107194,87.22,4.15964,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:11.598,13,0.8,30.3526,-89.6302,0.0545662,86.8,4.08562,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:13.598,13,0.8,30.3526,-89.6302,-0.0799105,85.604,318.945,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:14.799,13,0.8,30.3526,-89.6302,-0.0824931,84.922,304.439,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:15.598,13,0.9,30.3526,-89.6302,-0.0487513,84.23,293.499,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:16.799,13,0.9,30.3526,-89.6302,-0.0523034,83.486,311.987,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:17.798,13,0.9,30.3526,-89.6302,-0.0634657,82.767,319.97,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:18.799,13,0.9,30.3526,-89.6302,-0.0637627,81.996,322.431,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:19.799,13,0.9,30.3526,-89.6302,-0.0431603,81.294,352.235,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:20.798,13,0.9,30.3526,-89.6302,-0.0548769,80.555,337.068,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:21.799,13,0.9,30.3526,-89.6302,-0.0463678,79.87,326.976,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:23.798,13,0.9,30.3526,-89.6302,-0.0576964,78.518,327.381,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:24.798,13,0.9,30.3526,-89.6302,-0.0660906,77.851,331.928,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:25.798,13,0.9,30.3526,-89.6302,-0.0521587,77.25,333.435,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:26.799,13,0.9,30.3526,-89.6302,-0.0592473,76.611,318.991,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:27.798,14,0.9,30.3526,-89.6302,-0.0677004,76.035,320.826,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:28.799,14,0.9,30.3526,-89.6302,-0.042676,75.425,329.931,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:29.798,14,0.9,30.3526,-89.6302,-0.0430287,74.874,341.565,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:30.799,14,0.9,30.3526,-89.6302,0.0311621,74.288,3.57633,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:31.798,14,0.9,30.3526,-89.6302,0.0541491,73.759,338.962,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:33.799,14,0.9,30.3526,-89.6302,-0.0678119,72.693,332.7,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:34.798,14,0.9,30.3526,-89.6302,-0.0668862,72.163,324.462,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:35.799,14,0.9,30.3526,-89.6302,-0.0458763,71.681,323.616,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:36.798,14,0.9,30.3526,-89.6302,-0.0404487,71.163,324.782,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:37.799,14,0.9,30.3526,-89.6302,-0.0617456,70.705,298.179,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:38.799,14,0.9,30.3526,-89.6302,-0.0680066,70.382,300.964,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:39.798,14,0.9,30.3526,-89.6302,-0.0684773,70.309,304.592,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:40.999,14,0.9,30.3526,-89.6302,-0.0408669,70.267,295.346,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:41.798,14,0.9,30.3526,-89.6302,-0.03439,70.204,317.291,0,0,0,0,0,0,0,0,0,0,0,0
